order;Clone;Pop
1;Baianinha;C0
2;Aipim-Abacate-2;C0
3473;BGM-0046;C0
3474;BGM-0048;C0
3475;BGM-0093;C0
3476;BGM-0128;C0
138;BGM-0185;C0
3477;BGM-0216;C0
3478;BGM-0323;C0
215;BGM-0337;C0
3479;BGM-0360;C0
3480;BGM-0447;C0
281;BGM-0464;C0
3481;BGM-0470;C0
3482;BGM-0600;C0
381;BGM-0661;C0
3483;BGM-0693;C0
3484;BGM-0702;C0
3485;BGM-0717;C0
3486;BGM-0815;C0
433;BGM-0816;C0
3487;BGM-0818;C0
3488;BGM-0847;C0
3489;BGM-0888;C0
501;BGM-0946;C0
3490;BGM-0991;C0
3491;BGM-1023;C0
3492;BGM-1024;C0
552;BGM-1044;C0
586;BGM-1130;C0
3493;BGM-1156;C0
602;BGM-1160;C0
3494;BGM-1174;C0
3495;BGM-1253;C0
640;BGM-1259;C0
647;BGM-1268;C0
663;BGM-1309;C0
674;BGM-1332;C0
3496;BGM-1455;C0
741;BGM-1475;C0
3497;BGM-1487;C0
780;BGM-1583;C0
3498;BGM-1623;C0
3499;BGM-1626;C0
3500;BGM-1638;C0
814;BGM-1659;C0
3501;BGM-1693;C0
3502;BGM-1707;C0
855;BGM-1716;C0
3503;BGM-1760;C0
904;BGM-1784;C0
3504;BGM-2018;C0
933;BGM-2020;C0
1538;BGM-2127;C0
983;BGM-2167;C0
4063;BRS-Dourada;C0
4069;BRS-Mulatinha;C0
3472;BRS-NovoHorizonte;C0
1;Aciolina;C0
3;Aipim-Brasilia;C0
4;Aipim-Eucalipto-NV;C0
5;Aipim-Guanambi;C0
6;Aipim-Ze-Marcos(1);C0
15;BGM-0004;C0
16;BGM-0005;C0
17;BGM-0006;C0
18;BGM-0014;C0
19;BGM-0017;C0
20;BGM-0018;C0
21;BGM-0019;C0
22;BGM-0020;C0
23;BGM-0021;C0
24;BGM-0022;C0
25;BGM-0022-TR;C0
26;BGM-0022-TB;C0
27;BGM-0023;C0
28;BGM-0024;C0
29;BGM-0025;C0
30;BGM-0027;C0
31;BGM-0028;C0
32;BGM-0029;C0
33;BGM-0030;C0
34;BGM-0031;C0
35;BGM-0032;C0
36;BGM-0036;C0
37;BGM-0037;C0
38;BGM-0039;C0
39;BGM-0040;C0
40;BGM-0042;C0
41;BGM-0043;C0
42;BGM-0043(1);C0
43;BGM-0044;C0
44;BGM-0047;C0
45;BGM-0049;C0
46;BGM-0050;C0
47;BGM-0052;C0
48;BGM-0053;C0
49;BGM-0054;C0
50;BGM-0056;C0
51;BGM-0058;C0
52;BGM-0060;C0
53;BGM-0061;C0
54;BGM-0062;C0
55;BGM-0063;C0
56;BGM-0065;C0
57;BGM-0066;C0
58;BGM-0067;C0
59;BGM-0069;C0
60;BGM-0070;C0
61;BGM-0073;C0
62;BGM-0075;C0
63;BGM-0076;C0
64;BGM-0077?;C0
65;BGM-0080;C0
66;BGM-0082;C0
67;BGM-0082(1);C0
68;BGM-0083;C0
69;BGM-0084;C0
70;BGM-0085;C0
71;BGM-0087;C0
72;BGM-0088;C0
73;BGM-0089;C0
74;BGM-0090;C0
75;BGM-0091;C0
76;BGM-0096;C0
77;BGM-0097;C0
78;BGM-0098;C0
79;BGM-0100;C0
80;BGM-0106;C0
81;BGM-0113-RcxCr;C0
82;BGM-0113-RcxRos;C0
83;BGM-0115;C0
84;BGM-0115-TB;C0
85;BGM-0115-TR;C0
86;BGM-0116;C0
87;BGM-0119;C0
88;BGM-0120;C0
89;BGM-0121;C0
90;BGM-0123;C0
91;BGM-0124;C0
92;BGM-0126;C0
93;BGM-0130;C0
94;BGM-0131;C0
95;BGM-0132;C0
96;BGM-0133;C0
97;BGM-0134;C0
98;BGM-0135;C0
99;BGM-0136;C0
100;BGM-0137;C0
101;BGM-0138;C0
102;BGM-0140;C0
103;BGM-0143;C0
104;BGM-0144;C0
105;BGM-0145;C0
106;BGM-0150;C0
107;BGM-0150-B;C0
108;BGM-0150-A;C0
109;BGM-0151;C0
110;BGM-0152;C0
111;BGM-0152-B;C0
112;BGM-0152-A;C0
113;BGM-0155;C0
114;BGM-0156;C0
115;BGM-0157;C0
116;BGM-0160;C0
117;BGM-0161;C0
118;BGM-0162;C0
119;BGM-0162-A;C0
120;BGM-0162-B;C0
121;BGM-0163;C0
122;BGM-0164;C0
123;BGM-0165;C0
124;BGM-0165(1);C0
125;BGM-0166;C0
126;BGM-0167;C0
127;BGM-0168;C0
128;BGM-0169;C0
129;BGM-0170;C0
130;BGM-0171;C0
131;BGM-0174;C0
132;BGM-0177;C0
133;BGM-0177(1);C0
134;BGM-0179;C0
135;BGM-0182;C0
136;BGM-0182(1);C0
137;BGM-0184;C0
139;BGM-0186;C0
140;BGM-0187;C0
141;BGM-0187(1);C0
142;BGM-0188;C0
143;BGM-0189;C0
144;BGM-0190;C0
145;BGM-0195;C0
146;BGM-0199;C0
147;BGM-0201;C0
148;BGM-0202;C0
149;BGM-0204;C0
150;BGM-0207;C0
151;BGM-0208;C0
152;BGM-0209;C0
153;BGM-0210;C0
154;BGM-0211;C0
155;BGM-0212;C0
156;BGM-0213;C0
157;BGM-0214;C0
158;BGM-0215;C0
159;BGM-0220;C0
160;BGM-0222;C0
161;BGM-0226;C0
162;BGM-0235;C0
163;BGM-0236;C0
164;BGM-0237;C0
165;BGM-0238;C0
166;BGM-0239;C0
167;BGM-0240;C0
168;BGM-0242;C0
169;BGM-0247;C0
170;BGM-0248;C0
171;BGM-0249;C0
172;BGM-0250;C0
173;BGM-0252;C0
174;BGM-0254;C0
175;BGM-0257;C0
176;BGM-0260;C0
177;BGM-0261;C0
178;BGM-0264;C0
179;BGM-0266;C0
180;BGM-0267;C0
181;BGM-0268;C0
182;BGM-0269;C0
183;BGM-0270;C0
184;BGM-0271;C0
185;BGM-0271(1);C0
186;BGM-0276;C0
187;BGM-0277;C0
188;BGM-0279;C0
189;BGM-0281;C0
190;BGM-0283;C0
191;BGM-0284;C0
192;BGM-0285;C0
193;BGM-0286;C0
194;BGM-0287;C0
195;BGM-0288;C0
196;BGM-0289;C0
197;BGM-0290;C0
198;BGM-0294;C0
199;BGM-0297;C0
200;BGM-0298;C0
201;BGM-0303;C0
202;BGM-0304;C0
203;BGM-0306;C0
204;BGM-0307;C0
205;BGM-0308;C0
206;BGM-0312;C0
207;BGM-0314;C0
208;BGM-0316;C0
209;BGM-0318;C0
210;BGM-0324;C0
211;BGM-0326;C0
212;BGM-0327;C0
213;BGM-0330;C0
214;BGM-0336;C0
216;BGM-0341;C0
217;BGM-0342;C0
218;BGM-0345;C0
219;BGM-0349;C0
220;BGM-0352;C0
221;BGM-0356;C0
222;BGM-0357;C0
223;BGM-0358;C0
224;BGM-0359;C0
225;BGM-0362;C0
226;BGM-0364;C0
227;BGM-0365;C0
228;BGM-0366;C0
229;BGM-0368;C0
230;BGM-0369;C0
231;BGM-0371;C0
232;BGM-0374;C0
233;BGM-0375;C0
234;BGM-0380;C0
235;BGM-0382;C0
236;BGM-0383;C0
237;BGM-0386;C0
238;BGM-0388;C0
239;BGM-0389;C0
240;BGM-0390;C0
241;BGM-0393;C0
242;BGM-0394;C0
243;BGM-0395;C0
244;BGM-0396;C0
245;BGM-0398;C0
246;BGM-0399;C0
247;BGM-0400;C0
248;BGM-0406;C0
249;BGM-0407;C0
250;BGM-0408;C0
251;BGM-0410;C0
252;BGM-0411;C0
253;BGM-0413;C0
254;BGM-0414;C0
255;BGM-0418;C0
256;BGM-0420;C0
257;BGM-0421;C0
258;BGM-0422;C0
259;BGM-0424;C0
260;BGM-0425;C0
261;BGM-0426;C0
262;BGM-0427;C0
263;BGM-0428;C0
264;BGM-0435;C0
265;BGM-0436;C0
266;BGM-0437;C0
267;BGM-0438;C0
268;BGM-0439;C0
269;BGM-0440;C0
270;BGM-0442;C0
271;BGM-0444;C0
272;BGM-0448;C0
273;BGM-0449;C0
274;BGM-0451;C0
275;BGM-0452;C0
276;BGM-0456;C0
277;BGM-0460;C0
278;BGM-0461;C0
279;BGM-0462;C0
280;BGM-0463;C0
282;BGM-0465;C0
283;BGM-0467;C0
284;BGM-0468;C0
285;BGM-0471;C0
286;BGM-0472;C0
287;BGM-0474;C0
288;BGM-0475;C0
289;BGM-0478;C0
290;BGM-0480;C0
291;BGM-0484;C0
292;BGM-0489;C0
293;BGM-0495;C0
294;BGM-0498;C0
295;BGM-0499;C0
296;BGM-0500;C0
297;BGM-0504;C0
298;BGM-0505;C0
299;BGM-0507;C0
300;BGM-0508;C0
301;BGM-0509;C0
302;BGM-0510;C0
303;BGM-0511;C0
304;BGM-0512;C0
305;BGM-0514;C0
306;BGM-0517;C0
307;BGM-0521;C0
308;BGM-0523;C0
309;BGM-0527;C0
310;BGM-0529;C0
311;BGM-0532;C0
312;BGM-0533;C0
313;BGM-0533(1);C0
314;BGM-0536;C0
315;BGM-0537;C0
316;BGM-0540;C0
317;BGM-0541;C0
318;BGM-0542;C0
319;BGM-0543;C0
320;BGM-0544;C0
321;BGM-0547;C0
322;BGM-0549;C0
323;BGM-0550;C0
324;BGM-0551;C0
325;BGM-0555;C0
326;BGM-0556;C0
327;BGM-0557;C0
328;BGM-0558;C0
329;BGM-0560;C0
330;BGM-0561;C0
331;BGM-0563;C0
332;BGM-0564;C0
333;BGM-0567;C0
334;BGM-0570;C0
335;BGM-0573;C0
336;BGM-0574;C0
337;BGM-0576;C0
338;BGM-0579;C0
339;BGM-0583;C0
340;BGM-0585;C0
341;BGM-0587;C0
342;BGM-0589;C0
343;BGM-0590;C0
344;BGM-0591;C0
345;BGM-0592;C0
346;BGM-0593;C0
347;BGM-0598;C0
348;BGM-0601;C0
349;BGM-0603;C0
350;BGM-0606;C0
351;BGM-0607;C0
352;BGM-0609;C0
353;BGM-0611;C0
354;BGM-06111;C0
355;BGM-0614;C0
356;BGM-0615;C0
357;BGM-0618;C0
358;BGM-0620;C0
359;BGM-0623;C0
360;BGM-0624;C0
361;BGM-0625;C0
362;BGM-0626;C0
363;BGM-0630;C0
364;BGM-0631;C0
365;BGM-0635;C0
366;BGM-0638;C0
367;BGM-0640;C0
368;BGM-0642;C0
369;BGM-0643;C0
370;BGM-0646;C0
371;BGM-0648;C0
372;BGM-0650;C0
373;BGM-0651;C0
374;BGM-0654;C0
375;BGM-0655;C0
376;BGM-0655(1);C0
377;BGM-0657;C0
378;BGM-0658;C0
379;BGM-0659;C0
380;BGM-0660;C0
382;BGM-0662;C0
383;BGM-0664;C0
384;BGM-0665;C0
385;BGM-0666;C0
386;BGM-0668;C0
387;BGM-0669;C0
388;BGM-0670;C0
389;BGM-0671;C0
390;BGM-0673;C0
391;BGM-0677;C0
392;BGM-0678;C0
393;BGM-0679;C0
394;BGM-0680;C0
395;BGM-0682;C0
396;BGM-0685;C0
397;BGM-0694;C0
398;BGM-0697;C0
399;BGM-0699;C0
400;BGM-0700;C0
401;BGM-0703;C0
402;BGM-0707;C0
403;BGM-0711;C0
404;BGM-0713(1);C0
405;BGM-0714;C0
406;BGM-0715;C0
407;BGM-0718;C0
408;BGM-0726;C0
409;BGM-0728;C0
410;BGM-0729;C0
411;BGM-0737;C0
412;BGM-0737(1);C0
413;BGM-0741;C0
414;BGM-0778;C0
415;BGM-0779;C0
416;BGM-0780;C0
417;BGM-0780-B;C0
418;BGM-0780-E;C0
419;BGM-0781;C0
420;BGM-0783;C0
421;BGM-0785;C0
422;BGM-0788;C0
423;BGM-0799;C0
424;BGM-0805;C0
425;BGM-0806;C0
426;BGM-0807;C0
427;BGM-0808;C0
428;BGM-0809;C0
429;BGM-0810;C0
430;BGM-0812;C0
431;BGM-0813;C0
432;BGM-0814;C0
434;BGM-0817;C0
435;BGM-0820;C0
436;BGM-0823;C0
437;BGM-0830;C0
438;BGM-0830-TB;C0
439;BGM-0830-TV;C0
440;BGM-0843;C0
441;BGM-0846;C0
442;BGM-0848;C0
443;BGM-0849;C0
444;BGM-0850;C0
445;BGM-0851;C0
446;BGM-0854;C0
447;BGM-0856;C0
448;BGM-0856-CCr;C0
