Pos;model;cross;type;sireID;damID;oc
6;A;C1;D;BGM-0049;BR-18GS-111-57;0,052
12;A;C10;D;BR-18GS-085-83;BR-19GS-063-59;0,134
11;A;C11;F;BR-18GS-085-83;BR-21GS-C3-069-3;0,125
9;A;C12;G;BR-19GS-030-39;BR-18GS-034-21;0,097
13;A;C13;D;BR-21GS-C3-287-9;BR-18GS-001-3;0,202
7;A;C2;D;BR-18GS-001-3;BGM-1023;0,062
2;A;C3;D;BR-18GS-001-3;BGM-1489;0,02
3;A;C4;C;BR-18GS-001-3;BR-19GS-063-59;0,029
4;A;C5;D;BR-18GS-034-21;BGM-0049;0,045
5;A;C6;D;BR-18GS-034-21;BR-18GS-111-57;0,052
1;A;C7;D;BR-18GS-034-27;BR-18GS-111-57;0,017
8;A;C8;E;BR-18GS-085-83;BR-18GS-098-1;0,062
10;A;C9;D;BR-18GS-085-83;BR-19GS-030-39;0,098
1;AD;C1;D;BR-18GS-085-83;BR-18GS-034-27;0,032
2;AD;C2;D;BR-18GS-001-3;BR-19GS-030-39;0,053
3;AD;C3;D;BR-21GS-C3-287-9;BR-18GS-111-57;0,059
4;AD;C4;D;BR-18GS-001-3;BGM-0049;0,067
5;AD;C5;E;BR-18GS-085-83;BR-18GS-098-1;0,087
6;AD;C6;G;BR-19GS-030-39;BR-18GS-034-21;0,115
7;AD;C7;D;BR-18GS-001-3;BGM-1527;0,12
8;AD;C8;D;BR-21GS-C3-287-9;BR-18GS-085-83;0,131
9;AD;C9;F;BR-18GS-085-83;BR-21GS-C3-069-3;0,147
10;AD;C10;C;BR-18GS-001-3;BR-19GS-063-59;0,181
1;DirDom;C1;D;BGM-1489;BGM-1527;0,018
2;DirDom;C2;D;BGM-0049;BGM-0134;0,018
3;DirDom;C3;D;BGM-1489;BR-19GS-006-3;0,078
4;DirDom;C4;D;BGM-0049;BGM-0144;0,093
5;DirDom;C5;D;BGM-0022-TB;BGM-2304;0,181
6;DirDom;C6;D;BGM-0049;BGM-1503;0,28
7;DirDom;C7;D;BGM-1527;BGM-2289;0,33
