nd;damID;ns;sireID
1;BR-18GS-001-3;1;BR-18GS-001-3
2;BR-18GS-085-83;2;BR-18GS-085-83
3;BR-18GS-034-21;3;BR-18GS-034-21
4;BR-19GS-063-59;4;BR-19GS-063-59
5;BR-19GS-030-39;5;BR-19GS-030-39
6;BR-18GS-059-43;6;BR-18GS-059-43
7;BGM-0048;7;BGM-0048
8;BR-19GS-113-8;8;BR-19GS-113-8
9;BR-18GS-098-1;9;BR-18GS-098-1
10;BR-18GS-111-57;10;BR-18GS-111-57
11;BR-21GS-C3-069-3;11;BR-21GS-C3-069-3
12;BR-18GS-034-27;12;BR-18GS-034-27
13;BR-18GS-059-29;14;BR-21GS-C3-286-1
14;BR-21GS-C3-286-1;15;BR-18GS-084-34
15;BR-18GS-084-34;16;BGM-0049
16;BGM-0049;1000;BR-21GS-C3-287-9
17;BR-18GS-109-17;;
18;BGM-1023;;
19;BGM-1156;;
20;BR-18GS-109-10;;
21;BGM-1527;;
22;BR-21GS-C3-292-15;;
23;Guaira-Falsa;;
24;BR-18GS-059-48;;
25;Aipim-Preto-Joselito;;
26;BGM-0039;;
27;BR-21GS-C3-103-5;;
28;BR-19GS-030-15;;
29;BGM-2289;;
30;BR-19GS-030-38;;
31;BR-21GS-C3-056-2;;
32;BR-21GS-C3-175-75;;
33;BR-21GS-C3-130-4;;
34;BR-18GS-001-26;;
35;BGM-1489;;
36;BR-18GS-059-73;;
37;BR-19GS-030-10;;
38;BR-21GS-C3-133-1;;
39;BGM-1024;;
40;BR-18GS-131-17;;
41;BGM-0018;;
42;BR-18GS-085-84;;
43;BR-21GS-C3-217-6;;
44;BR-21GS-C3-265-9;;
45;BR-18GS-085-161;;
46;BR-19GS-153-2;;
47;BR-18GS-134-29;;
48;BR-21GS-C3-286-31;;
49;BR-18GS-001-1;;
50;BR-18GS-129-36;;
51;BR-21GS-C3-293-3;;
52;BR-18GS-085-3;;
53;BR-19GS-048-2;;
54;BR-21GS-C3-061-27;;
55;BR-21GS-C3-286-5;;
56;BR-18GS-129-58;;
57;BR-18GS-085-144;;
58;BR-18GS-034-29;;
59;BR-21GS-C3-104-63;;
60;BR-18GS-109-23;;
61;BGM-0144;;
62;BR-18GS-085-38;;
63;BR-21GS-C3-106-5;;
64;BR-18GS-099-32;;
65;BR-21GS-C3-104-13;;
66;BR-18GS-034-18;;
67;BR-21GS-C3-104-33;;
68;BR-18GS-001-14;;
69;BR-21GS-C3-057-29;;
70;BGM-1371;;
71;BR-21GS-C3-286-8;;
72;BGM-0140;;
73;BR-18GS-001-23;;
74;BR-18GS-059-62;;
75;BR-21GS-C3-162-17;;
76;BR-21GS-C3-251-3;;
77;BR-18GS-085-145;;
78;BR-21GS-C3-133-4;;
79;BR-21GS-C3-061-1;;
80;BR-18GS-001-31;;
81;BR-21GS-C3-055-8;;
82;BR-18GS-059-9;;
83;BR-18GS-001-21;;
84;BR-21GS-C3-059-15;;
85;BR-18GS-097-3;;
86;BR-21GS-C3-296-2;;
87;BR-18GS-085-53;;
88;BR-21GS-C3-288-30;;
89;BGM-1596;;
90;BR-18GS-084-30;;
91;BR-18GS-085-143;;
92;BR-18GS-085-37;;
93;BR-21GS-C3-162-13;;
94;BR-18GS-034-57;;
95;BR-18GS-001-55;;
96;BR-18GS-052-33;;
97;BR-21GS-C3-157-14;;
98;BR-21GS-C3-288-28;;
99;BGM-0815;;
100;BR-21GS-C3-104-30;;
101;BR-21GS-C3-058-5;;
102;BR-21GS-C3-114-5;;
103;BR-18GS-085-1;;
104;BR-21GS-C3-201-1;;
105;BGM-0022-TB;;
106;BR-18GS-034-35;;
107;BR-18GS-102-11;;
108;BR-21GS-C3-132-18;;
109;BR-21GS-C3-055-6;;
110;BR-21GS-C3-122-8;;
111;BGM-0134;;
112;BR-18GS-059-69;;
113;BR-21GS-C3-292-10;;
114;BR-21GS-C3-288-13;;
115;BR-18GS-001-56;;
116;BR-21GS-C3-106-9;;
117;BR-18GS-102-18;;
118;BR-21GS-C3-102-6;;
119;BGM-1503;;
120;BGM-1370;;
121;BR-21GS-C3-059-67;;
122;BR-18GS-099-26;;
123;BR-19GS-012-3;;
124;BR-18GS-101-28;;
125;BGM-0027;;
126;BR-18GS-001-38;;
127;BR-21GS-C3-177-1;;
128;BGM-0480;;
129;BR-21GS-C3-286-14;;
130;BR-21GS-C3-132-4;;
131;BGM-0892;;
132;BR-21GS-C3-058-2;;
133;BR-18GS-099-48;;
134;BR-21GS-C3-104-52;;
135;BR-21GS-C3-286-37;;
136;BGM-1682;;
137;BGM-0901;;
138;BR-21GS-C3-286-24;;
139;BR-21GS-C3-063-3;;
140;BR-19GS-063-76;;
141;BR-21GS-C3-078-6;;
142;BR-18GS-089-35;;
143;BR-19GS-030-52;;
144;BR-18GS-059-26;;
145;BR-21GS-C3-292-33;;
146;BR-21GS-C3-038-3;;
147;BR-21GS-C3-201-4;;
148;BR-21GS-C3-288-9;;
149;BR-18GS-061-6;;
150;BR-18GS-103-28;;
151;BR-18GS-001-10;;
152;BR-21GS-C3-286-32;;
153;BGM-1656;;
154;BR-21GS-C3-154-22;;
155;BGM-0682;;
156;BR-18GS-109-11;;
157;BGM-1560;;
158;BR-18GS-042-28;;
159;BR-18GS-052-6;;
160;BR-21GS-C3-057-12;;
161;BR-19GS-024-7;;
162;BR-19GS-047-16;;
163;BR-21GS-C3-087-8;;
164;BR-19GS-042-13;;
165;BR-18GS-105-9;;
166;BR-19GS-010-6;;
167;BGM-0314;;
168;BR-21GS-C3-142-8;;
169;BR-19GS-137-4;;
170;BR-21GS-C3-115-8;;
171;BGM-0638;;
172;BR-18GS-085-21;;
173;BR-19GS-030-21;;
174;BR-19GS-115-2;;
175;BR-18GS-059-37;;
176;BGM-2304;;
177;BR-21GS-C3-232-19;;
178;BR-19GS-002-4;;
179;BR-18GS-034-40;;
180;BR-18GS-054-52;;
181;BR-19GS-037-63;;
182;BR-18GS-099-33;;
183;BGM-1163;;
184;BR-19GS-030-13;;
185;BR-21GS-C3-151-3;;
186;BR-18GS-001-34;;
