nd;damID;ns;sireID
1;BGM-1527;1;BGM-1527
2;BGM-0144;2;BGM-0144
3;BGM-0049;3;BGM-0049
4;BGM-2289;4;BGM-2289
5;BGM-1503;5;BGM-1503
6;BGM-1489;6;BGM-1489
7;BGM-1656;7;BGM-1656
8;BGM-1560;8;BGM-1560
9;BGM-0134;9;BGM-0134
10;BGM-0140;10;BGM-0140
11;BGM-0583;11;BGM-0583
12;BGM-1163;12;BGM-1163
13;BGM-1520;13;BGM-1520
14;BGM-1371;14;BGM-1371
15;BGM-0039;15;BGM-0039
16;BGM-0549;16;BGM-0549
17;BGM-1291;17;BGM-1291
18;BGM-1180;18;BGM-1180
19;BGM-2304;20;BGM-1535
20;BGM-1535;21;BGM-0270
21;BGM-0270;22;BGM-1715
22;BGM-1715;23;BGM-0080
23;BGM-0080;24;BGM-0638
24;BGM-0638;25;BGM-1106
25;BGM-1106;26;BGM-1370
26;BGM-1370;27;BGM-1410
27;BGM-1410;28;BGM-0425
28;BGM-0425;29;BGM-1453
29;BGM-1453;30;BGM-1031
30;BGM-1031;31;BGM-1412
31;BGM-1412;32;BGM-0226
32;BGM-0226;33;BGM-1422
33;BGM-1422;34;BGM-0480
34;BGM-0480;35;BGM-0439
35;BGM-0439;36;BGM-0591
36;BGM-0591;38;BGM-0284
37;BR-19GS-006-3;39;BGM-1416
38;BGM-0284;40;BGM-1200
39;BGM-1416;42;BGM-0543
40;BGM-1200;43;BGM-1596
41;BGM-1750;44;BGM-1794
42;BGM-0543;45;BGM-1682
43;BGM-1596;46;BGM-0682
44;BGM-1794;48;BGM-1549
45;BGM-1682;49;BGM-0022-TB
46;BGM-0682;50;BGM-1779
47;BGM-1671;51;BGM-1160
48;BGM-1549;52;BGM-0892
49;BGM-0022-TB;55;BGM-0901
50;BGM-1779;56;BGM-1082
51;BGM-1160;58;BGM-0027
52;BGM-0892;59;BGM-0849
53;BGM-2019;60;BGM-1409
54;BGM-2107;61;BGM-1732
55;BGM-0901;64;BGM-0382
56;BGM-1082;66;BGM-0190
57;BGM-0857;67;BGM-0314
58;BGM-0027;72;BGM-0857
59;BGM-0849;76;BGM-1359
60;BGM-1409;77;BGM-0873
61;BGM-1732;78;BGM-1518
62;BGM-1672;100;Aipim-Abacate-2
63;BGM-1677;101;BGM-0018
64;BGM-0382;102;BGM-0021
65;BGM-1643;103;BGM-0037
66;BGM-0190;104;BGM-0116
67;BGM-0314;105;BGM-0177
68;BGM-2153;106;BGM-0547
69;BGM-1285;107;BGM-0778
70;BGM-0189;108;BGM-0848
71;BGM-0337;109;BGM-0856
72;BGM-0859;110;BGM-1068
73;BGM-0620;111;BGM-1116
74;BGM-0895;112;BGM-1281
75;BGM-1753;113;BGM-1741
76;BGM-1359;114;BGM-2032
77;BGM-0873;115;BR-11S1-52-01
78;BGM-1518;;
79;BGM-0478;;
