nd;damID;ns;sireID
34;Aipim-Preto-Joselito;1;BR-18GS-085-83
48;BGM-0018;2;BR-21GS-C3-287-9
28;BGM-0022-TB;3;BR-19GS-063-59
138;BGM-0027;4;BR-18GS-059-43
33;BGM-0039;5;BGM-0048
5;BGM-0048;6;BR-19GS-030-39
19;BGM-0049;7;BR-18GS-098-1
156;BGM-0134;8;BR-19GS-113-8
89;BGM-0140;9;BR-21GS-C3-069-3
59;BGM-0144;11;BR-18GS-059-29
116;BGM-0226;13;BR-18GS-109-17
136;BGM-0480;15;BGM-1023
189;BGM-0583;16;BR-18GS-034-27
159;BGM-0638;19;BGM-0049
203;BGM-0682;20;BR-21GS-C3-286-1
117;BGM-0815;21;BGM-1024
152;BGM-0892;1000;BGM-1527
140;BGM-0901;1001;BR-18GS-001-3
15;BGM-1023;;
21;BGM-1024;;
207;BGM-1031;;
14;BGM-1156;;
185;BGM-1163;;
184;BGM-1291;;
176;BGM-1370;;
112;BGM-1371;;
118;BGM-1422;;
76;BGM-1489;;
107;BGM-1503;;
177;BGM-1520;;
12;BGM-1527;;
201;BGM-1535;;
142;BGM-1560;;
104;BGM-1596;;
144;BGM-1656;;
143;BGM-1682;;
210;BGM-1715;;
213;BGM-1794;;
35;BGM-2289;;
114;BGM-2304;;
174;BR-17-012-16;;
42;BR-18GS-001-1;;
115;BR-18GS-001-10;;
62;BR-18GS-001-14;;
216;BR-18GS-001-19;;
105;BR-18GS-001-21;;
41;BR-18GS-001-23;;
30;BR-18GS-001-26;;
82;BR-18GS-001-31;;
150;BR-18GS-001-34;;
125;BR-18GS-001-38;;
57;BR-18GS-001-55;;
127;BR-18GS-001-56;;
164;BR-18GS-008-20;;
175;BR-18GS-032-3;;
73;BR-18GS-034-18;;
10;BR-18GS-034-21;;
16;BR-18GS-034-27;;
64;BR-18GS-034-29;;
113;BR-18GS-034-35;;
103;BR-18GS-034-57;;
181;BR-18GS-042-28;;
85;BR-18GS-052-33;;
81;BR-18GS-052-6;;
134;BR-18GS-054-52;;
120;BR-18GS-055-19;;
148;BR-18GS-059-24;;
119;BR-18GS-059-26;;
11;BR-18GS-059-29;;
182;BR-18GS-059-37;;
4;BR-18GS-059-43;;
18;BR-18GS-059-48;;
39;BR-18GS-059-62;;
69;BR-18GS-059-69;;
40;BR-18GS-059-73;;
58;BR-18GS-059-9;;
169;BR-18GS-061-6;;
171;BR-18GS-063-54;;
95;BR-18GS-084-30;;
70;BR-18GS-084-34;;
66;BR-18GS-085-1;;
168;BR-18GS-085-100;;
141;BR-18GS-085-143;;
37;BR-18GS-085-144;;
75;BR-18GS-085-145;;
23;BR-18GS-085-161;;
145;BR-18GS-085-21;;
49;BR-18GS-085-3;;
219;BR-18GS-085-33;;
204;BR-18GS-085-34;;
167;BR-18GS-085-35;;
147;BR-18GS-085-36;;
100;BR-18GS-085-37;;
44;BR-18GS-085-38;;
63;BR-18GS-085-53;;
205;BR-18GS-085-74;;
1;BR-18GS-085-83;;
29;BR-18GS-085-84;;
215;BR-18GS-085-9;;
173;BR-18GS-089-35;;
199;BR-18GS-097-1;;
46;BR-18GS-097-3;;
170;BR-18GS-097-4;;
7;BR-18GS-098-1;;
93;BR-18GS-099-26;;
36;BR-18GS-099-32;;
108;BR-18GS-099-33;;
180;BR-18GS-099-4;;
211;BR-18GS-099-45;;
55;BR-18GS-099-48;;
221;BR-18GS-099-49;;
97;BR-18GS-101-28;;
122;BR-18GS-102-11;;
149;BR-18GS-102-18;;
135;BR-18GS-103-28;;
220;BR-18GS-105-2;;
194;BR-18GS-105-9;;
27;BR-18GS-109-10;;
130;BR-18GS-109-11;;
13;BR-18GS-109-17;;
178;BR-18GS-109-19;;
47;BR-18GS-109-23;;
17;BR-18GS-111-57;;
80;BR-18GS-129-36;;
121;BR-18GS-129-58;;
218;BR-18GS-129-59;;
24;BR-18GS-131-17;;
196;BR-18GS-131-20;;
193;BR-18GS-131-4;;
179;BR-18GS-131-9;;
110;BR-18GS-134-29;;
163;BR-19GS-002-4;;
197;BR-19GS-010-6;;
128;BR-19GS-012-3;;
25;BR-19GS-030-10;;
32;BR-19GS-030-15;;
160;BR-19GS-030-21;;
26;BR-19GS-030-38;;
6;BR-19GS-030-39;;
126;BR-19GS-030-52;;
172;BR-19GS-030-6;;
166;BR-19GS-047-16;;
45;BR-19GS-048-2;;
3;BR-19GS-063-59;;
155;BR-19GS-063-76;;
8;BR-19GS-113-8;;
79;BR-19GS-153-2;;
190;BR-21GS-C3-025-3;;
101;BR-21GS-C3-038-3;;
87;BR-21GS-C3-055-6;;
74;BR-21GS-C3-055-8;;
56;BR-21GS-C3-056-2;;
90;BR-21GS-C3-057-12;;
72;BR-21GS-C3-057-29;;
111;BR-21GS-C3-058-2;;
67;BR-21GS-C3-058-5;;
96;BR-21GS-C3-059-15;;
131;BR-21GS-C3-059-67;;
102;BR-21GS-C3-061-1;;
38;BR-21GS-C3-061-27;;
158;BR-21GS-C3-063-3;;
9;BR-21GS-C3-069-3;;
191;BR-21GS-C3-070-23;;
209;BR-21GS-C3-076-1;;
132;BR-21GS-C3-087-8;;
123;BR-21GS-C3-102-6;;
77;BR-21GS-C3-103-5;;
52;BR-21GS-C3-104-13;;
