Accession	Female_Parent	Male_Parent	Cross_Type
2018g-06-01			
2018g-06-02			
2018g-06-03			
2018g-07-01			
2019g-01-02			
2019g-01-03			
2019g-04-01			
2019g-04-02			
2019g-04-03			
2019g-04-04			
2019g-04-05			
2019g-05-01			
2019g-05-02			
2019g-05-03			
2019g-05-04			
2019g-05-05			
2019g-05-06			
2019g-05-07			
2019g-05-08			
2019g-05-09			
2019g-05-11			
2019g-05-12			
2019g-05-13			
2019g-05-15			
2019g-05-16			
2019g-05-17			
2019g-07-01			
2019g-07-02			
2019g-07-03			
2019g-08-01			
2019g-08-02			
2019g-08-03			
2019g-08-04			
2019g-08-05			
2019g-08-06			
2019g-08-07			
2019g-08-08			
2019g-08-09			
2019g-08-10			
2019g-08-11			
2019g-08-12			
2019g-08-13			
2019g-08-14			
2019g-08-15			
2019g-08-16			
2019g-08-17			
2019g-08-18			
2019g-08-19			
2019g-08-20			
2019g-08-21			
2019g-08-22			
2019g-08-23			
2019g-08-24			
2019g-08-25			
2019g-08-26			
2019g-08-27			
2019g-08-28			
2019g-08-29			
2019g-08-30			
2019g-08-31			
2019g-08-32			
2019g-08-33			
2019g-08-34			
2019g-08-35			
2019g-08-36			
2019g-08-37			
2019g-08-38			
2019g-08-39			
2019g-08-40			
2019g-08-41			
2019g-08-42			
2019g-08-43			
2019g-08-44			
2019g-08-45			
2019g-08-46			
2019g-08-47			
2019g-08-48			
2019g-08-49			
2019g-08-50			
2019g-08-51			
2019g-08-52			
2019g-08-53			
2019g-08-54			
2019g-08-55			
2019g-08-56			
2019g-08-58			
2019g-08-59			
2019g-08-60			
2019g-08-61			
2019g-08-62			
2019g-08-63			
2019g-08-64			
2019g-08-65			
2019g-08-66			
2019g-08-67			
2019g-08-68			
2019g-08-69			
2019g-08-70			
2019g-08-71			
2019g-08-72			
2019g-08-73			
2019g-09-01			
2019g-09-02			
2019g-09-03			
2019g-09-04			
2019g-09-05			
2019g-09-06			
2020g-01-01			
2020g-07-01			
2020g-07-02			
2020g-07-03			
2020g-08-01			
2020g-08-02			
2020g-08-03			
2020g-08-04			
2020g-08-05			
2021g-03-01			
2021g-03-02			
2021g-03-03			
2021g-03-04			
2021g-03-05			
2021g-03-06			
2021g-03-07			
2021g-03-08			
2021g-03-09			
2021g-03-10			
2021g-03-11			
2021g-03-12			
2021g-03-13			
2021g-03-14			
2021g-03-15			
2021g-03-16			
2021g-03-17			
2021g-03-18			
2021g-03-19			
2021g-03-20			
2021g-03-21			
2021g-03-22			
2021g-03-23			
2021g-03-24			
2021g-03-25			
2021g-03-26			
2021g-03-27			
2021g-03-28			
367-09			
5-minutos-SOO-1			
6683-1			
6896-5Wx			
7741-8Wx			
7795-1Wx			
7909			
7909-04			
7909-05			
7909-2Wx			
7909-4Wx			
7909-5Wx			
8034-2Wx			
8109-5Wx			
98103-08			
aipim abacate			
Baianinha-PR			
BGM-0019			
BGM-0021			
BGM-0046			
BGM-0061			
BGM-0093			
BGM-0128			
BGM-0131			
BGM-0144			
BGM-0162			
BGM-0174			
BGM-0185			
BGM-0213			
BGM-0214			
BGM-0215			
BGM-0216			
BGM-0217			
BGM-0252			
BGM-0269			
BGM-0284			
BGM-0323			
BGM-0352			
BGM-0360			
BGM-0413			
BGM-0425			
BGM-0449			
BGM-0451			
BGM-0463			
BGM-0464			
BGM-0468			
BGM-0470			
BGM-0517			
BGM-0600			
BGM-0604			
BGM-0650			
BGM-0661			
BGM-0685			
BGM-0702			
BGM-0717			
BGM-0728			
BGM-0729			
BGM-0741			
BGM-0756			
BGM-0815			
BGM-0816			
BGM-0818			
BGM-0872			
BGM-0888			
BGM-0918			
BGM-0935			
BGM-0941			
BGM-0942			
BGM-0946			
BGM-0958			
BGM-0968			
BGM-0971			
BGM-0991			
BGM-0994			
BGM-1023			
BGM-1024			
BGM-1028			
BGM-1034			
BGM-1120			
BGM-1130			
BGM-1133			
BGM-1143			
BGM-1144			
BGM-1146			
BGM-1148			
BGM-1156			
BGM-1160			
BGM-1163			
BGM-1167			
BGM-1174			
BGM-1253			
BGM-1259			
BGM-1268			
BGM-1309			
BGM-1332			
BGM-1335			
BGM-1413			
BGM-1422			
BGM-1444			
BGM-1448			
BGM-1455			
BGM-1487			
BGM-1497			
BGM-1499			
BGM-1530			
BGM-1583			
BGM-1584			
BGM-1586			
BGM-1598			
BGM-1626			
BGM-1638			
BGM-1659			
BGM-1660			
BGM-1662			
BGM-1677			
BGM-1683			
BGM-1693			
BGM-1716			
BGM-1754			
BGM-1759			
BGM-1760			
BGM-1784			
BGM-1811			
BGM-1819			
BGM-1942			
BGM-2019			
BGM-2020			
BGM-2022			
BGM-2024			
BGM-2025			
BGM-2026			
BGM-2028			
BGM-2029			
BGM-2030			
BGM-2032			
BGM-2034			
BGM-2035			
BGM-2038			
BGM-2047			
BGM-2048			
BGM-2052			
BGM-2053			
BGM-2054			
BGM-2055			
BGM-2057			
BGM-2058			
BGM-2059			
BGM-2060			
BGM-2061			
BGM-2062			
BGM-2063			
BGM-2064			
BGM-2065			
BGM-2066			
BGM-2067			
BGM-2069			
BGM-2072			
BGM-2073			
BGM-2074			
BGM-2076			
BGM-2078			
BGM-2079			
BGM-2080			
BGM-2081			
BGM-2082			
BGM-2083			
BGM-2085			
BGM-2086			
BGM-2090			
BGM-2091			
BGM-2094			
BGM-2095			
