sireID,damID,oc
1,BR-18GS-085-83,BR-18GS-001-3,1.74644659446215e-07
2,BR-21GS-C3-287-9,BR-18GS-085-83,1.99918948992093e-06
3,BR-21GS-C3-287-9,BR-18GS-001-3,0.201978785576969
4,BR-18GS-085-83,BR-18GS-034-21,3.11663680838788e-07
5,BR-18GS-085-83,BR-19GS-063-59,0.134363711664719
6,BR-18GS-085-83,BR-19GS-030-39,0.0979636913623622
7,BR-18GS-001-3,BR-18GS-034-21,2.2618009980943e-07
8,BR-18GS-001-3,BR-19GS-063-59,0.0291726978556856
9,BR-18GS-001-3,BR-19GS-030-39,3.07872368152572e-06
10,BR-18GS-085-83,BR-18GS-059-43,2.51111609332317e-08
11,BR-18GS-085-83,BGM-0048,3.66036389988695e-08
12,BR-18GS-001-3,BR-18GS-059-43,2.5384521834436e-08
13,BR-18GS-085-83,BR-19GS-113-8,1.85754978420315e-08
14,BR-18GS-085-83,BR-18GS-098-1,0.0622872370084895
15,BR-18GS-085-83,BR-18GS-111-57,1.51945517181373e-06
16,BR-18GS-085-83,BR-21GS-C3-069-3,0.125299664170147
17,BR-18GS-001-3,BGM-0048,3.47659924534583e-08
18,BR-18GS-085-83,BR-18GS-034-27,4.8007801115186e-06
19,BR-18GS-001-3,BR-19GS-113-8,1.86968653055114e-08
20,BR-18GS-001-3,BR-18GS-098-1,9.62018235685242e-06
21,BR-18GS-001-3,BR-18GS-111-57,6.23198589529964e-07
22,BR-18GS-001-3,BR-21GS-C3-069-3,1.21362698477968e-05
23,BR-18GS-001-3,BR-18GS-034-27,1.71213761916869e-06
24,BR-18GS-085-83,BR-18GS-059-29,1.08284320682526e-08
25,BR-18GS-085-83,BR-21GS-C3-286-1,1.17683880528637e-07
26,BR-18GS-085-83,BR-18GS-084-34,2.13392306737588e-08
27,BR-18GS-001-3,BR-18GS-059-29,1.07095281932751e-08
28,BR-18GS-085-83,BGM-0049,9.49761201882077e-05
29,BR-18GS-001-3,BR-21GS-C3-286-1,1.17682276232944e-07
30,BR-18GS-001-3,BR-18GS-084-34,2.12232501569365e-08
31,BR-18GS-001-3,BGM-0049,2.89500939247453e-06
32,BR-18GS-085-83,BR-18GS-109-17,5.22790333654126e-09
33,BR-18GS-085-83,BGM-1023,1.16011792915205e-05
34,BR-18GS-085-83,BGM-1156,6.6014171046054e-09
35,BR-21GS-C3-287-9,BR-18GS-034-21,6.81011590947267e-07
36,BR-18GS-085-83,BR-18GS-109-10,5.31116115165617e-09
37,BR-18GS-085-83,BGM-1527,2.14852016938014e-07
38,BR-18GS-001-3,BR-18GS-109-17,5.21503129600067e-09
39,BR-18GS-085-83,BR-21GS-C3-292-15,1.61246731892329e-08
40,BR-18GS-085-83,Guaira-Falsa,6.52362903982449e-06
41,BR-18GS-085-83,BR-18GS-059-48,8.00056911974205e-09
42,BR-18GS-001-3,BGM-1023,0.0618913441572976
43,BR-18GS-001-3,BGM-1156,6.5499200846804e-09
44,BR-21GS-C3-287-9,BR-19GS-063-59,5.36133966977613e-08
45,BR-18GS-085-83,Aipim-Preto-Joselito,2.79975720896066e-07
46,BR-18GS-001-3,BGM-1527,2.40219836092304e-07
47,BR-18GS-001-3,BR-18GS-109-10,5.26897501724227e-09
48,BR-18GS-001-3,BR-21GS-C3-292-15,1.5846469188436e-08
49,BR-18GS-085-83,BGM-0039,1.22160494948984e-08
50,BR-21GS-C3-287-9,BR-19GS-030-39,8.03839860003912e-08
51,BR-18GS-085-83,BR-21GS-C3-103-5,2.44481740790228e-08
52,BR-18GS-001-3,Guaira-Falsa,0.00453635137679311
53,BR-18GS-001-3,BR-18GS-059-48,7.92914658927883e-09
54,BR-18GS-085-83,BR-19GS-030-15,9.27678400997337e-09
55,BR-18GS-001-3,Aipim-Preto-Joselito,3.28592453272348e-07
56,BR-18GS-085-83,BGM-2289,6.0258990747765e-09
57,BR-18GS-085-83,BR-19GS-030-38,8.28370028055101e-09
58,BR-18GS-085-83,BR-21GS-C3-056-2,1.4929892993306e-08
59,BR-18GS-085-83,BR-21GS-C3-175-75,1.95494834762261e-08
60,BR-21GS-C3-287-9,BGM-0048,4.38942280913716e-08
61,BR-18GS-085-83,BR-21GS-C3-130-4,5.59002657948931e-09
62,BR-18GS-001-3,BGM-0039,1.21665732193254e-08
63,BR-18GS-085-83,BR-18GS-001-26,4.90508623472058e-09
64,BR-18GS-001-3,BR-21GS-C3-103-5,2.49607474819401e-08
65,BR-18GS-085-83,BGM-1489,5.13095498191898e-06
66,BR-18GS-085-83,BR-18GS-059-73,4.84055874480778e-09
67,BR-18GS-085-83,BR-19GS-030-10,7.34051856622185e-09
68,BR-18GS-085-83,BR-21GS-C3-133-1,4.77595208063139e-09
69,BR-18GS-085-83,BGM-1024,1.71593519332555e-08
70,BR-18GS-001-3,BR-19GS-030-15,9.19548842898531e-09
71,BR-18GS-085-83,BR-18GS-131-17,5.8960855796659e-09
72,BR-18GS-085-83,BGM-0018,4.75299964040514e-08
73,BR-18GS-001-3,BR-19GS-030-38,8.31964669981365e-09
74,BR-18GS-001-3,BR-21GS-C3-056-2,1.51656858555332e-08
75,BR-18GS-001-3,BGM-2289,5.98177014020888e-09
76,BR-18GS-001-3,BR-21GS-C3-175-75,1.93272752085177e-08
77,BR-18GS-001-3,BR-21GS-C3-130-4,5.59583540997061e-09
78,BR-21GS-C3-287-9,BR-18GS-059-43,1.54219984024133e-08
79,BR-21GS-C3-287-9,BR-18GS-111-57,2.81163393203891e-07
80,BR-18GS-085-83,BR-18GS-085-84,3.06053285705256e-09
81,BR-18GS-085-83,BR-21GS-C3-217-6,1.73556530852945e-08
82,BR-18GS-085-83,BR-21GS-C3-265-9,4.95148651734548e-09
83,BR-18GS-085-83,BR-18GS-085-161,3.17753680981451e-09
