sireID,damID,oc
1,BGM-1527,BGM-1527,1.45850499260845e-08
2,BGM-0144,BGM-0144,0.0933476056176044
3,BGM-0049,BGM-0049,9.97181137837826e-07
4,BGM-2289,BGM-2289,0.330400571922267
5,BGM-1503,BGM-1503,0.280432710144493
6,BGM-1527,BGM-1527,0.0180960234347524
7,BGM-1527,BGM-1527,8.9348463294047e-09
8,BGM-1489,BGM-1489,1.26847038279953e-06
9,BGM-1656,BGM-1656,8.51066503958184e-08
10,BGM-0049,BGM-0049,8.35552904740683e-05
11,BGM-1560,BGM-1560,8.17499995991122e-08
12,BGM-0144,BGM-0144,3.71548258162751e-08
13,BGM-0134,BGM-0134,0.0182082872269087
14,BGM-0140,BGM-0140,1.38618455651564e-07
15,BGM-1503,BGM-1503,5.79376058654726e-08
16,BGM-0583,BGM-0583,4.02462240780152e-08
17,BGM-1527,BGM-1527,2.34286214262128e-08
18,BGM-1527,BGM-1527,5.360539772939e-08
19,BGM-1163,BGM-1163,2.66958201104259e-08
20,BGM-1520,BGM-1520,2.66666496020221e-08
21,BGM-1371,BGM-1371,5.48321429652052e-08
22,BGM-1527,BGM-1527,1.09297277562712e-07
23,BGM-0039,BGM-0039,2.38901820575585e-08
24,BGM-0549,BGM-0549,2.78839918041981e-08
25,BGM-1291,BGM-1291,2.31632571878151e-08
26,BGM-1180,BGM-1180,2.19652026697084e-07
27,BGM-1527,BGM-1527,3.45982283069919e-08
28,BGM-2304,BGM-2304,1.70436081265697e-08
29,BGM-1535,BGM-1535,3.62884481008876e-08
30,BGM-1656,BGM-1656,2.40345838122631e-08
31,BGM-0270,BGM-0270,1.1759478073912e-07
32,BGM-1715,BGM-1715,2.0507217006296e-08
33,BGM-1489,BGM-1489,3.88215371047848e-08
34,BGM-1560,BGM-1560,2.2680054044473e-08
35,BGM-0080,BGM-0080,1.87477370886672e-08
36,BGM-2289,BGM-2289,1.42437827379173e-08
37,BGM-1560,BGM-1560,1.59895408633441e-08
38,BGM-1656,BGM-1656,1.46035005190226e-08
39,BGM-0583,BGM-0583,1.84379695014834e-08
40,BGM-0638,BGM-0638,3.07436150808028e-08
41,BGM-0134,BGM-0134,4.15876102796812e-08
42,BGM-0039,BGM-0039,4.74078184048101e-08
43,BGM-1106,BGM-1106,1.50501949974165e-08
44,BGM-1370,BGM-1370,2.28576991073155e-08
45,BGM-1527,BGM-1527,1.30563360533834e-08
46,BGM-1410,BGM-1410,1.31188804110359e-08
47,BGM-1527,BGM-1527,1.96612573454222e-08
48,BGM-0425,BGM-0425,1.29918950158044e-08
49,BGM-1453,BGM-1453,1.75608300246307e-08
50,BGM-1527,BGM-1527,8.59805507835199e-09
51,BGM-1163,BGM-1163,1.3930908551926e-08
52,BGM-2304,BGM-2304,0.181284600932781
53,BGM-1527,BGM-1527,1.13330659661828e-08
54,BGM-1031,BGM-1031,1.98929408030467e-08
55,BGM-1520,BGM-1520,1.32797997170532e-08
56,BGM-0140,BGM-0140,1.83419460161999e-08
57,BGM-1527,BGM-1527,1.69402569749875e-08
58,BGM-1715,BGM-1715,1.13346424850233e-08
59,BGM-1527,BGM-1527,9.39032395707465e-09
60,BGM-1371,BGM-1371,1.85497560713405e-08
61,BGM-0549,BGM-0549,1.33604591567562e-08
62,BGM-1291,BGM-1291,1.26549432063622e-08
63,BGM-2304,BGM-2304,1.0086731241393e-08
64,BGM-1527,BGM-1527,1.05318594547862e-08
65,BGM-1535,BGM-1535,1.40802091653757e-08
66,BGM-1527,BGM-1527,1.03413815025443e-08
67,BGM-1535,BGM-1535,1.71261371565957e-08
68,BGM-1412,BGM-1412,1.04572519117143e-08
69,BGM-0226,BGM-0226,7.74873804163853e-09
70,BGM-1422,BGM-1422,7.76309065365596e-09
71,BGM-0480,BGM-0480,1.90410920588802e-08
72,BGM-0439,BGM-0439,3.3754060014136e-08
73,BGM-1715,BGM-1715,1.18032850653956e-08
74,BGM-0591,BGM-0591,2.52470289270845e-08
75,BGM-1527,BGM-1527,1.00714547556213e-08
76,BGM-1180,BGM-1180,2.96517020432347e-08
77,BGM-1527,BGM-1527,9.61324336273999e-09
78,BGM-0080,BGM-0080,1.08569844246459e-08
79,BR-19GS-006-3,BR-19GS-006-3,1.82417526281934e-08
80,BGM-0284,BGM-0284,2.07903185168434e-08
81,BGM-1489,BGM-1489,2.8982224847705e-07
82,BGM-1503,BGM-1503,6.03064076007153e-08
83,BGM-1416,BGM-1416,1.40141726325025e-08
84,BGM-0270,BGM-0270,2.34241685290477e-08
85,BGM-1106,BGM-1106,9.67520609900512e-09
86,BGM-1527,BGM-1527,8.37961805792638e-09
87,BGM-1410,BGM-1410,9.04947376542657e-09
88,BGM-1527,BGM-1527,1.65997011440698e-08
89,BGM-1200,BGM-1200,1.65082860376523e-08
90,BGM-2289,BGM-2289,7.7989843462906e-09
91,BGM-0425,BGM-0425,8.85696015452386e-09
92,BGM-1527,BGM-1527,1.15670199251761e-08
93,BGM-1527,BGM-1527,7.62240130660437e-09
94,BGM-1527,BGM-1527,1.56604208581357e-08
95,BGM-1750,BGM-1750,1.18945056058028e-08
