sireID,damID,oc
1,BR-18GS-001-3,BR-18GS-085-83,6.60185381969598e-08
2,BR-18GS-001-3,BR-21GS-C3-287-9,0.00503425074297591
3,BR-21GS-C3-287-9,BR-18GS-085-83,0.130659221664683
4,BR-18GS-001-3,BR-19GS-063-59,0.180889957310428
5,BR-18GS-001-3,BR-18GS-059-43,6.1595829218307e-08
6,BR-18GS-001-3,BGM-0048,4.52955383618315e-08
7,BR-18GS-001-3,BR-19GS-030-39,0.0531383654720805
8,BR-18GS-001-3,BR-18GS-098-1,2.20058699421658e-07
9,BR-18GS-001-3,BR-19GS-113-8,1.05929688302671e-08
10,BR-18GS-001-3,BR-21GS-C3-069-3,1.02949889219338e-06
11,BR-18GS-001-3,BR-18GS-034-21,7.52760523020273e-08
12,BR-18GS-085-83,BR-19GS-063-59,1.31555430247146e-07
13,BR-18GS-001-3,BR-18GS-059-29,5.80274203850538e-09
14,BR-18GS-085-83,BR-18GS-059-43,4.83145045213006e-08
15,BR-18GS-001-3,BGM-1527,0.120408648779072
16,BR-18GS-085-83,BGM-0048,4.39494353931161e-08
17,BR-18GS-001-3,BR-18GS-109-17,4.47672909866915e-09
18,BR-18GS-001-3,BGM-1156,5.63159155974755e-09
19,BR-18GS-001-3,BGM-1023,1.94845945432347e-07
20,BR-18GS-085-83,BR-19GS-030-39,2.56491636036887e-07
21,BR-18GS-001-3,BR-18GS-034-27,6.76981298993267e-08
22,BR-18GS-085-83,BR-18GS-098-1,0.0874557930007476
23,BR-18GS-001-3,BR-18GS-111-57,4.21520698906284e-08
24,BR-18GS-085-83,BR-19GS-113-8,1.04071661123546e-08
25,BR-18GS-085-83,BR-21GS-C3-069-3,0.147353827620544
26,BR-18GS-001-3,BR-18GS-059-48,6.94164460777945e-09
27,BR-18GS-001-3,BGM-0049,0.0667919796381587
28,BR-18GS-001-3,BR-21GS-C3-286-1,1.45685773712284e-08
29,BR-18GS-001-3,BGM-1024,1.13187519686245e-08
