sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness,type
1,BR-18GS-085-83,BR-18GS-001-3,3586,BV,SELIND,46.6684178540568,8.44034367762471,69.2041354733148,FALSE
2,BR-21GS-C3-287-9,BR-18GS-085-83,3729,BV,SELIND,47.3972177411916,7.33503305225291,66.9817559907068,FALSE
3,BR-21GS-C3-287-9,BR-18GS-001-3,3246,BV,SELIND,46.8678594206144,7.42032634074942,66.6801307504153,FALSE
4,BR-18GS-085-83,BR-18GS-034-21,3758,BV,SELIND,43.4841757631458,8.28165719704919,65.5962004792672,FALSE
5,BR-18GS-085-83,BR-19GS-063-59,3850,BV,SELIND,45.3601316996821,7.57075293964094,65.5740420485234,FALSE
6,BR-18GS-085-83,BR-19GS-030-39,3903,BV,SELIND,44.5554855582448,7.77158298491584,65.3056121279701,FALSE
7,BR-18GS-001-3,BR-18GS-034-21,3954,BV,SELIND,42.9548174425686,8.3572949603932,65.2687949868185,FALSE
8,BR-18GS-001-3,BR-19GS-063-59,3548,BV,SELIND,44.8307733791049,7.65341970616136,65.2654039945557,FALSE
9,BR-18GS-001-3,BR-19GS-030-39,3541,BV,SELIND,44.0261272376676,7.85213571055738,64.9913295848558,FALSE
10,BR-18GS-085-83,BR-18GS-059-43,3446,BV,SELIND,45.2308436125614,7.38410615909351,64.946407057341,FALSE
11,BR-18GS-085-83,BGM-0048,3796,BV,SELIND,42.426826505697,8.40125607145097,64.8581802164711,FALSE
12,BR-18GS-001-3,BR-18GS-059-43,3276,BV,SELIND,44.7014852919842,7.46883905934113,64.643285580425,FALSE
13,BR-18GS-085-83,BR-19GS-113-8,3757,BV,SELIND,44.8658677930723,7.40308174626278,64.632096055594,FALSE
14,BR-18GS-085-83,BR-18GS-098-1,3877,BV,SELIND,44.1968816223321,7.64560265005228,64.6106406979717,FALSE
15,BR-18GS-085-83,BR-18GS-111-57,3963,BV,SELIND,42.9354871678143,8.11206995372787,64.5947139442677,FALSE
16,BR-18GS-085-83,BR-21GS-C3-069-3,3778,BV,SELIND,44.1574172024421,7.63403890767036,64.540301085922,FALSE
