sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness
1,BGM-0049,BGM-1527,4248,TGV,SELIND,76.2718855824328,5.8525150922382,91.8981008787088
2,BGM-0049,BGM-0144,4463,TGV,SELIND,75.5341053473879,6.07022130025622,91.741596219072
3,BGM-0022-TB,BGM-0049,4169,TGV,SELIND,76.8558397182435,5.47654386221533,91.4782118303584
4,BGM-1527,BGM-2289,4357,TGV,SELIND,73.9648546959864,6.54230597067563,91.4328116376903
5,BGM-0049,BGM-1503,4716,TGV,SELIND,72.571369920265,7.01503928892131,91.3015248216849
6,BGM-1489,BGM-1527,4412,TGV,SELIND,75.6672782288055,5.70421645705558,90.8975361691439
7,BGM-0039,BGM-1527,4276,TGV,SELIND,75.36652746283,5.80363486104177,90.8622325418116
8,BGM-0049,BGM-1489,4423,TGV,SELIND,74.6359661281336,6.04789954306195,90.783857908109
9,BGM-0049,BGM-1656,4720,TGV,SELIND,72.5020117328221,6.80945377948565,90.6832533240488
10,BGM-0018,BGM-0049,4398,TGV,SELIND,73.4851968532614,6.42773278827426,90.6472433979537
11,BGM-0049,BGM-1560,4749,TGV,SELIND,71.9293293182413,7.00938627451612,90.6443906711993
12,BGM-0039,BGM-0144,4489,TGV,SELIND,74.5334671144108,6.02221869003915,90.6127910168154
13,BGM-0049,BGM-0134,4325,TGV,SELIND,75.7109978757632,5.57861734101895,90.6059061762838
14,BGM-0049,BGM-0140,4375,TGV,SELIND,74.3152913002157,6.04312961517018,90.4504473727201
15,BGM-0039,BGM-1503,4744,TGV,SELIND,71.8148765257308,6.97833443685816,90.447029472142
16,BGM-0049,BGM-0583,4743,TGV,SELIND,71.5750861242548,7.01212830844597,90.2974687078055
17,BGM-1503,BGM-1527,4617,TGV,SELIND,72.2171979738208,6.70510641342075,90.1198320976542
18,BGM-1371,BGM-1527,4388,TGV,SELIND,75.9435472142539,5.27797428201328,90.0357385472293
19,BGM-0049,BGM-1163,4723,TGV,SELIND,71.4106376047593,6.96771641504415,90.0144404329272
20,BGM-0049,BGM-1520,4726,TGV,SELIND,72.0063897673554,6.7425108660682,90.0088937797575
21,BGM-0049,BGM-1371,4410,TGV,SELIND,74.8901644931548,5.65878846948276,89.9991297066738
