sireID,damID,Nsegsnps,predOf,Trait,predMean,predSD,predUsefulness
1,BR-18GS-001-3,BR-18GS-001-3,1950,TGV,SELIND,41.053867290164,7.61407316924402,61.3834426520455
2,BR-18GS-001-3,BR-18GS-085-83,3586,TGV,SELIND,39.978880347748,7.52254652772549,60.064079576775
3,BR-18GS-085-83,BR-18GS-085-83,2305,TGV,SELIND,38.903893405332,7.66679456112455,59.3742348835345
4,BR-18GS-001-3,BR-21GS-C3-287-9,3246,TGV,SELIND,40.3714030380546,6.77349558999109,58.4566362633308
5,BR-21GS-C3-287-9,BR-18GS-085-83,3729,TGV,SELIND,39.2964160956385,6.76920750793054,57.3702001418131
6,BR-18GS-001-3,BR-19GS-063-59,3548,TGV,SELIND,38.7382910370512,6.90811391790826,57.1829551978662
7,BR-18GS-001-3,BR-18GS-059-43,3276,TGV,SELIND,39.1998278213416,6.69709796534074,57.0810793888014
8,BR-18GS-001-3,BGM-0048,3488,TGV,SELIND,36.6054065818583,7.62654540282109,56.9682828073906
9,BR-18GS-001-3,BR-19GS-030-39,3541,TGV,SELIND,37.9783750442934,7.0349038777702,56.7615683979399
10,BR-18GS-001-3,BR-18GS-098-1,3709,TGV,SELIND,38.2009289937047,6.90620497293577,56.6404962714432
11,BR-18GS-001-3,BR-19GS-113-8,3235,TGV,SELIND,38.4253226225194,6.76614541545685,56.4909308817891
12,BR-18GS-001-3,BR-21GS-C3-069-3,3623,TGV,SELIND,37.910821473338,6.93328598855777,56.4226950627873
13,BR-18GS-001-3,BR-18GS-034-21,3954,TGV,SELIND,36.0078322157463,7.53523107363592,56.1268991823542
14,BR-18GS-085-83,BR-19GS-063-59,3850,TGV,SELIND,37.6633040946352,6.88501581332033,56.0462963162004
15,BR-21GS-C3-287-9,BR-21GS-C3-287-9,2032,TGV,SELIND,39.6889387859451,6.10726632160001,55.9953398646172
16,BR-18GS-001-3,BR-18GS-059-29,3372,TGV,SELIND,36.3437989729372,7.34909076151947,55.9658713061941
17,BR-18GS-085-83,BR-18GS-059-43,3446,TGV,SELIND,38.1248408789256,6.68010054157304,55.9607093249256
18,BR-18GS-001-3,BGM-1527,4176,TGV,SELIND,38.2195452922693,6.6306114255499,55.9232777984876
19,BR-18GS-085-83,BGM-0048,3796,TGV,SELIND,35.5304196394423,7.62225881227233,55.8818506682094
20,BR-18GS-001-3,BR-18GS-109-17,3396,TGV,SELIND,36.9035142771224,7.07660007483887,55.7980364769422
21,BR-18GS-001-3,BGM-1156,3492,TGV,SELIND,35.5961895344609,7.55319290810092,55.7632145990903
22,BR-18GS-001-3,BGM-1023,4146,TGV,SELIND,37.8080582330385,6.72357512298928,55.7600038114198
23,BR-18GS-085-83,BR-19GS-030-39,3903,TGV,SELIND,36.9033881018774,7.02536121396084,55.6611025431529
24,BR-18GS-001-3,BR-18GS-034-27,3986,TGV,SELIND,36.7995826329016,7.06206372848261,55.6552927879502
25,BR-18GS-085-83,BR-18GS-098-1,3877,TGV,SELIND,37.1259420512887,6.91862326957459,55.5986661810529
26,BR-18GS-001-3,BR-18GS-111-57,3870,TGV,SELIND,35.1298944800996,7.61923560934192,55.4732535570425
27,BR-18GS-085-83,BR-19GS-113-8,3757,TGV,SELIND,37.3503356801033,6.76003963065412,55.3996414939498
28,BR-18GS-085-83,BR-21GS-C3-069-3,3778,TGV,SELIND,36.835834530922,6.93404607278328,55.3497375452534
29,BR-18GS-001-3,BR-18GS-059-48,3409,TGV,SELIND,35.3521971561709,7.47639933320334,55.3141833758238
30,BR-18GS-001-3,BGM-0049,4117,TGV,SELIND,36.6519048988314,6.9794491600021,55.287034156037
31,BR-18GS-001-3,BR-21GS-C3-286-1,3405,TGV,SELIND,36.9100583978287,6.86744410408864,55.2461341557454
32,BR-18GS-001-3,BGM-1024,4170,TGV,SELIND,37.5490578979288,6.57988615006834,55.1173539186113
33,BR-18GS-085-83,BR-18GS-034-21,3758,TGV,SELIND,34.9328452733303,7.55011472843038,55.0916515982394
34,BR-18GS-001-3,BR-21GS-C3-130-4,3307,TGV,SELIND,37.0531868562229,6.69458446382609,54.9277273746386
35,BR-18GS-001-3,BR-18GS-085-161,3553,TGV,SELIND,35.8752127083364,7.12862935617989,54.9086530893367
36,BR-18GS-085-83,BR-18GS-059-29,3654,TGV,SELIND,35.2688120305212,7.35337046948632,54.9023111840497
37,BR-18GS-085-83,BGM-1527,4292,TGV,SELIND,37.1445583498533,6.61621518168766,54.8098528849594
38,BR-18GS-085-83,BR-18GS-034-27,3628,TGV,SELIND,35.7245956904856,7.10593929222002,54.6974536007131
39,BR-18GS-085-83,BR-18GS-109-17,3555,TGV,SELIND,35.8285273347064,7.0605814085592,54.6802796955595
40,BR-18GS-085-83,BGM-1156,3796,TGV,SELIND,34.5212025920449,7.54380026879158,54.6631493097184
41,BR-18GS-085-83,BGM-1023,4271,TGV,SELIND,36.7330712906224,6.71243998811492,54.6552860588893
42,BR-18GS-001-3,BR-18GS-131-17,3309,TGV,SELIND,37.5803594016096,6.39377201857047,54.6517306911928
43,BR-18GS-001-3,BR-19GS-030-10,3487,TGV,SELIND,35.8259154333993,7.03589040613313,54.6117428177748
44,BR-18GS-001-3,BR-19GS-030-38,3580,TGV,SELIND,36.6648174765189,6.71259058325386,54.5874343338067
45,BR-18GS-001-3,BR-18GS-109-10,3405,TGV,SELIND,33.9046265550707,7.70508416414183,54.4772012733294
46,BR-18GS-001-3,BGM-0022-TB,3950,TGV,SELIND,37.6190044029282,6.30348262704663,54.4493030171427
47,BR-18GS-001-3,BR-18GS-085-84,3615,TGV,SELIND,36.8598050351609,6.58532656511379,54.4426269640147
48,BR-18GS-085-83,BR-18GS-111-57,3963,TGV,SELIND,34.0549075376836,7.62778577662044,54.4210955612602
49,BR-18GS-001-3,BR-18GS-001-26,3347,TGV,SELIND,34.9673249996372,7.27923397417417,54.4028797106822
50,BR-18GS-001-3,Guaira-Falsa,3819,TGV,SELIND,36.0219675993081,6.87558101022398,54.3797688966061
51,BR-18GS-001-3,BR-19GS-030-15,3626,TGV,SELIND,34.6741994668864,7.35013260141972,54.2990535126771
52,BR-21GS-C3-287-9,BGM-0048,3466,TGV,SELIND,35.9229423297489,6.87637290117481,54.2828579758856
53,BR-18GS-001-3,BGM-0039,4138,TGV,SELIND,35.7610899695836,6.9365129638525,54.2815795830698
54,BR-21GS-C3-287-9,BR-19GS-063-59,3416,TGV,SELIND,38.0558267849418,6.06985236169898,54.262332590678
55,BR-18GS-001-3,Aipim-Preto-Joselito,3856,TGV,SELIND,36.3979713383958,6.66779513460416,54.2009843477889
56,BR-18GS-085-83,BGM-0049,4369,TGV,SELIND,35.5769179564153,6.97247330132452,54.1934216709518
57,BR-18GS-085-83,BR-18GS-059-48,3590,TGV,SELIND,34.2772102137549,7.45007669545251,54.1689149906131
58,BR-18GS-085-83,BR-21GS-C3-286-1,3728,TGV,SELIND,35.8350714554127,6.85648260567616,54.1418800125681
59,BR-18GS-001-3,BGM-2289,3336,TGV,SELIND,33.9644839946126,7.55484883298442,54.135930378681
60,BR-21GS-C3-287-9,BR-18GS-059-43,3273,TGV,SELIND,38.5173635692322,5.82559682895871,54.071707102552
61,BR-18GS-001-3,BR-18GS-099-32,3544,TGV,SELIND,35.7601744679047,6.85676293216659,54.0677314967895
62,BR-18GS-001-3,BR-18GS-085-144,3656,TGV,SELIND,35.629821624945,6.89821490678495,54.0480554260608
63,BR-18GS-085-83,BGM-1024,4300,TGV,SELIND,36.4740709555128,6.57330276774053,54.02478934538
64,BR-18GS-001-3,BR-21GS-C3-061-27,3492,TGV,SELIND,35.3111002910926,6.99178989538168,53.9791793117617
65,BR-18GS-001-3,BR-18GS-059-62,3223,TGV,SELIND,33.2282874670153,7.75637340285769,53.9378044526453
66,BR-21GS-C3-287-9,BR-19GS-030-39,3382,TGV,SELIND,37.295910792184,6.22703434222128,53.9220924859148
67,BR-18GS-085-83,BR-18GS-085-161,3448,TGV,SELIND,34.8002257659204,7.15464126203291,53.9031179355483
68,BR-18GS-085-83,BR-21GS-C3-130-4,3630,TGV,SELIND,35.9781999138069,6.70914888346809,53.8916274326667
69,BR-18GS-001-3,BR-18GS-059-73,3360,TGV,SELIND,35.1081598055053,7.03231642101706,53.8844446496209
70,BR-18GS-001-3,BR-18GS-001-23,3150,TGV,SELIND,32.5337904901916,7.99456887157875,53.8792893773069
71,BR-18GS-001-3,BR-18GS-001-1,3172,TGV,SELIND,33.7974046996276,7.51728662261809,53.8685599820179
72,BR-18GS-001-3,BR-21GS-C3-265-9,3357,TGV,SELIND,33.5678428109145,7.60083953671665,53.8620843739479
73,BR-18GS-001-3,BR-18GS-085-38,3675,TGV,SELIND,32.6531856965425,7.93543419749258,53.8407950038476
74,BR-18GS-001-3,BR-19GS-048-2,3658,TGV,SELIND,33.9556784055823,7.4470885616056,53.8394048650692
75,BR-18GS-001-3,BR-18GS-097-3,3825,TGV,SELIND,36.8746276845181,6.35142028898244,53.8329198561012
76,BR-18GS-001-3,BR-18GS-109-23,3479,TGV,SELIND,34.3551554751173,7.29420714117535,53.8306885420555
77,BR-21GS-C3-287-9,BR-18GS-098-1,3619,TGV,SELIND,37.5184647415953,6.10709162470966,53.8243993795701
78,BR-18GS-001-3,BGM-0018,4204,TGV,SELIND,34.7771999954769,7.1217284769564,53.7922150289505
79,BR-18GS-001-3,BR-18GS-085-3,3799,TGV,SELIND,33.4285673852612,7.62539670681819,53.7883765924658
80,BR-18GS-001-3,BR-21GS-C3-293-3,3607,TGV,SELIND,34.9072077579201,7.06795039075048,53.7786353012239
